ticker,strategy,basket,period_months,price_then,price_now,actual_return,upside,growth,accel,valuation,long_term,cash_runway,conviction,entry,momentum,profitability,fragility,downside
ENVX,catalyst,SpecGrowth,12,8.86,6.75,-23.81,100.0,78.2,100.0,5.0,25.0,0.0,100.0,73.5,40.0,0.0,-10.0,-8.0
APLD,cycle,Industrial,12,11.55,41.91,262.86,0.0,9.8,0.0,44.2,100.0,0.0,100.0,21.6,60.0,-3.0,-5.0,-5.0
TMDX,hold_forever,MedTech,12,141.96,74.29,-47.67,0.0,95.3,0.0,67.8,100.0,80.0,82.5,28.6,100.0,5.0,0.0,0.0
IREN,cycle,Industrial,12,10.4,54.02,419.42,100.0,96.0,82.9,81.1,50.0,0.0,100.0,49.5,60.0,0.0,-5.0,-5.0
AXON,hold_forever,Defense,12,780.61,452.51,-42.03,0.0,66.9,53.3,29.8,100.0,80.0,100.0,2.2,100.0,5.0,0.0,0.0
CIFR,cycle,Industrial,12,3.93,23.03,486.13,100.0,34.3,0.0,68.7,25.0,0.0,100.0,65.7,40.0,-5.0,-5.0,-5.0
LUNR,catalyst,SpecGrowth,12,10.84,27.47,153.41,86.0,91.4,100.0,80.2,5.0,0.0,100.0,61.9,40.0,0.0,-10.0,-8.0
ACHR,catalyst,SpecGrowth,12,10.38,5.32,-48.75,45.7,50.0,50.0,5.0,75.0,0.0,100.0,28.1,100.0,-5.0,-10.0,-12.0
VST,cycle,Nuclear,12,176.3,146.22,-17.06,0.0,33.1,64.8,98.1,100.0,0.0,100.0,11.7,100.0,0.0,-5.0,-5.0
CEG,hold_forever,Nuclear,12,306.4,251.65,-17.87,1.7,26.7,37.7,93.0,100.0,80.0,100.0,21.2,100.0,5.0,0.0,0.0
TLN,cycle,Nuclear,12,280.92,358.74,27.7,0.0,21.6,0.0,86.5,50.0,0.0,100.0,0.0,100.0,0.0,-5.0,-5.0
NNE,catalyst,Nuclear,12,34.62,23.94,-30.84,88.9,50.0,50.0,50.0,50.0,80.0,85.0,26.1,100.0,-5.0,-10.0,-8.0
DNN,cycle,Nuclear,12,1.86,2.95,58.6,68.8,68.1,100.0,5.0,75.0,0.0,75.0,42.7,60.0,0.0,-5.0,-5.0
UEC,cycle,Nuclear,12,6.67,10.65,59.67,58.6,84.3,100.0,13.8,75.0,0.0,100.0,42.0,60.0,0.0,-5.0,-5.0
QUBT,catalyst,Quantum,12,21.22,9.51,-55.21,0.0,5.0,0.0,5.0,100.0,0.0,60.0,17.7,100.0,-5.0,-10.0,-8.0
ARQQ,catalyst,Quantum,12,29.07,12.49,-57.03,0.0,0.0,100.0,5.0,5.0,20.0,100.0,36.9,100.0,-5.0,-10.0,-8.0
APP,cycle,SpecGrowth,12,370.68,520.84,40.51,29.3,100.0,100.0,25.7,75.0,80.0,82.5,31.5,100.0,5.0,0.0,0.0
SMCI,cycle,Industrial,12,43.69,40.64,-6.98,100.0,93.2,0.0,100.0,25.0,80.0,44.0,65.3,60.0,5.0,-5.0,-5.0
CCJ,hold_forever,Nuclear,24,51.37,102.27,99.09,8.3,77.1,50.0,75.8,100.0,50.0,82.5,15.0,100.0,0.0,-5.0,-5.0
GEV,hold_forever,Nuclear,24,175.08,920.15,425.56,0.0,24.2,50.0,100.0,50.0,50.0,100.0,6.8,50.0,0.0,0.0,0.0
SRUUF,cycle,Nuclear,24,19.89,18.46,-7.18,50.0,50.0,50.0,50.0,50.0,50.0,24.0,39.6,30.0,0.0,-5.0,-5.0
LEU,cycle,Nuclear,24,43.75,156.02,256.62,19.4,16.8,50.0,100.0,50.0,50.0,100.0,52.8,10.0,0.0,-5.0,-5.0
SMR,catalyst,Nuclear,24,10.02,10.0,-0.2,0.0,78.1,50.0,5.0,50.0,50.0,40.0,1.0,100.0,0.0,-10.0,-8.0
OKLO,catalyst,Nuclear,24,9.02,56.48,526.16,50.0,50.0,50.0,50.0,50.0,50.0,24.0,83.2,30.0,0.0,-10.0,-8.0
IONQ,cycle,Quantum,24,6.76,56.69,738.61,100.0,77.9,50.0,5.0,25.0,50.0,100.0,100.0,10.0,0.0,-10.0,-8.0
